Navio: Suezmax T172
Cenário: Forte
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.8nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

x y zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
11578.06 5437.54 -160.88 3.98 -0.57 0.14 0.63 3 64.917 70.56 5977.353
11577.67 5437.46 -160.86 3.98 -0.57 0.14 0.63 3 64.883 70.498 5976.955
11577.27 5437.38 -160.85 3.98 -0.57 0.14 0.63 3 64.876 70.458 5976.548
11576.88 5437.31 -160.83 3.98 -0.57 0.14 0.63 3 64.852 70.387 5976.153
11576.49 5437.23 -160.82 3.97 -0.57 0.14 0.63 3 64.842 70.349 5975.755
11576.09 5437.15 -160.81 3.97 -0.57 0.14 0.63 3 64.835 70.308 5975.348
11575.7 5437.07 -160.79 3.97 -0.57 0.14 0.63 3 64.801 70.247 5974.95
11575.3 5437.0 -160.78 3.97 -0.57 0.13 0.63 3 64.804 70.197 5974.545
11574.91 5436.92 -160.77 3.97 -0.57 0.13 0.63 3 64.794 70.159 5974.148
11574.52 5436.84 -160.75 3.97 -0.57 0.13 0.63 3 64.761 70.097 5973.75
11574.12 5436.77 -160.74 3.97 -0.57 0.13 0.63 3 64.763 70.047 5973.345
11573.73 5436.69 -160.73 3.97 -0.57 0.13 0.63 3 64.753 70.009 5972.948
11573.34 5436.61 -160.71 3.96 -0.57 0.13 0.63 3 64.72 69.947 5972.55
11572.94 5436.53 -160.7 3.96 -0.57 0.13 0.63 3 64.712 69.907 5972.143
11572.55 5436.46 -160.69 3.96 -0.57 0.13 0.63 3 64.713 69.86 5971.748
11572.16 5436.38 -160.67 3.96 -0.57 0.13 0.63 3 64.679 69.798 5971.35
11571.77 5436.3 -160.66 3.96 -0.57 0.13 0.63 3 64.669 69.76 5970.952
11571.37 5436.22 -160.65 3.96 -0.57 0.13 0.63 3 64.662 69.72 5970.545
11570.98 5436.14 -160.64 3.96 -0.57 0.13 0.63 3 64.652 69.682 5970.147
11570.59 5436.07 -160.62 3.96 -0.57 0.13 0.63 3 64.629 69.61 5969.752
11570.2 5435.99 -160.61 3.96 -0.57 0.13 0.63 3 64.619 69.573 5969.355
11569.8 5435.91 -160.6 3.96 -0.57 0.13 0.63 3 64.612 69.532 5968.947
11569.41 5435.83 -160.58 3.96 -0.57 0.13 0.63 3 64.578 69.471 5968.55
11569.02 5435.75 -160.57 3.96 -0.57 0.13 0.63 3 64.568 69.433 5968.152
11568.63 5435.68 -160.56 3.96 -0.57 0.13 0.63 3 64.569 69.385 5967.757
11568.23 5435.6 -160.55 3.96 -0.57 0.13 0.63 3 64.561 69.345 5967.35
11567.84 5435.52 -160.53 3.96 -0.57 0.13 0.63 3 64.528 69.283 5966.952
11567.45 5435.44 -160.52 3.96 -0.57 0.13 0.63 3 64.518 69.245 5966.554
11567.06 5435.36 -160.51 3.96 -0.57 0.12 0.63 3 64.508 69.207 5966.157
11566.66 5435.28 -160.5 3.96 -0.57 0.12 0.63 3 64.501 69.167 5965.75
11566.27 5435.2 -160.48 3.96 -0.57 0.12 0.6 3 64.468 69.106 5965.352
