Navio: Aframax
Cenário: Forte
Manobra: Entrada
Corrente: N 1 nó 
Vento: SE 20 nós 
Onda: 2m 12s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-158.93 3.05 -0.15 -0.32 0.01 1 3.324 4366.37
-158.96 3.05 -0.15 -0.33 0.01 1 3.295 4366.064
-158.99 3.05 -0.15 -0.33 0.01 1 3.266 4365.758
-159.03 3.05 -0.15 -0.33 0.01 1 3.247 4365.455
-159.06 3.05 -0.15 -0.33 0.01 1 3.218 4365.149
-159.09 3.05 -0.15 -0.33 0.01 1 3.199 4364.846
-159.13 3.04 -0.15 -0.33 0.01 1 3.18 4364.542
-159.16 3.04 -0.15 -0.33 0.01 1 3.151 4364.236
-159.19 3.04 -0.15 -0.33 0.01 1 3.132 4363.933
-159.23 3.04 -0.15 -0.33 0.01 1 3.103 4363.627
-159.26 3.04 -0.15 -0.33 0.01 1 3.083 4363.324
-159.29 3.04 -0.15 -0.33 0.01 1 3.064 4363.02
-159.32 3.04 -0.15 -0.32 0.01 1 3.035 4362.714
-159.36 3.04 -0.15 -0.32 0.01 1 3.016 4362.411
-159.39 3.04 -0.14 -0.32 0.01 1 2.987 4362.105
-159.42 3.04 -0.14 -0.31 0.01 1 2.968 4361.802
-159.45 3.04 -0.14 -0.31 0.01 1 2.949 4361.498
-159.48 3.04 -0.14 -0.3 0.01 1 2.92 4361.192
-159.51 3.04 -0.14 -0.3 0.01 1 2.901 4360.889
-159.54 3.04 -0.14 -0.29 0.01 1 2.879 4360.595
-159.57 3.04 -0.14 -0.29 0.01 1 2.851 4360.289
-159.6 3.04 -0.14 -0.28 0.01 1 2.831 4359.986
-159.63 3.04 -0.14 -0.27 0.01 1 2.812 4359.682
-159.65 3.04 -0.13 -0.27 0.01 1 2.793 4359.379
-159.68 3.04 -0.13 -0.26 0.01 1 2.764 4359.073
-159.7 3.04 -0.13 -0.25 0.01 1 2.745 4358.77
-159.73 3.04 -0.13 -0.24 0.01 1 2.726 4358.466
-159.75 3.04 -0.13 -0.23 0.01 1 2.697 4358.16
-159.78 3.04 -0.13 -0.23 0.01 1 2.678 4357.857
-159.8 3.04 -0.13 -0.22 0.01 1 2.659 4357.554
-159.82 3.04 -0.13 -0.21 0.01 1 2.63 4357.248
-159.84 3.04 -0.13 -0.2 0.01 1 2.611 4356.944
-159.86 3.04 -0.12 -0.19 0.01 1 2.591 4356.641
-159.88 3.04 -0.12 -0.18 0.01 1 2.572 4356.338
-159.9 3.04 -0.12 -0.18 0.01 1 2.543 4356.032
-159.91 3.04 -0.12 -0.17 0.01 1 2.524 4355.728
-159.93 3.05 -0.12 -0.16 0.01 1 2.505 4355.425
-159.94 3.05 -0.12 -0.15 0.01 1 2.476 4355.119
-159.96 3.05 -0.12 -0.14 0.01 1 2.457 4354.816
-159.97 3.05 -0.12 -0.13 0.01 1 2.438 4354.512
-159.99 3.05 -0.12 -0.13 0.01 1 2.409 4354.206
